Property_ID,Size(#rooms),Type,Location,Price
1,2,1,1,1480000
2,2,1,1,1035000
3,3,1,1,1465000
4,3,1,1,850000
5,4,1,1,1600000
6,2,1,1,941000
7,3,1,1,1876000
8,2,1,1,1636000
9,1,2,1,300000
10,2,1,1,1097000
11,2,2,1,700000
12,3,1,1,1350000
13,2,2,1,750000
14,2,1,1,1172500
15,1,2,1,441000
16,2,1,1,1310000
17,3,1,1,1200000
18,3,1,1,1176500
19,3,1,1,955000
20,2,1,1,890000
21,4,1,1,1330000
22,3,3,1,900000
23,3,2,1,1090000
24,2,2,1,500000
25,2,1,1,1100000
26,2,1,1,1315000
27,1,2,1,426000
28,3,1,1,1447500
29,1,2,1,457000
30,2,1,1,1135000
31,4,1,1,1542000
32,3,1,1,1290000
33,3,1,1,1290000
34,1,2,1,470000
35,2,1,1,1180000
36,3,1,1,1195000
37,2,1,1,1012500
38,2,1,1,1030000
39,3,3,4,840000
40,3,1,4,730000
41,3,1,4,770000
42,2,1,4,603000
43,3,3,4,700000
44,3,1,4,600000
45,2,2,4,500000
46,3,1,4,720000
47,4,1,4,785000
48,6,1,4,725000
49,2,3,4,450000
50,2,2,4,515000
51,2,2,4,530000
52,3,1,4,895000
53,3,1,4,805000
54,3,2,4,752000
55,2,2,4,440000
56,5,1,4,755000
57,3,3,4,700000
58,3,1,4,830000
59,2,2,4,462500
60,3,1,4,670000
61,2,1,4,675000
62,3,1,4,1042000
63,3,1,4,910000
64,4,1,4,773000
65,3,1,4,810000
66,3,1,4,715000
67,3,1,4,790000
68,3,3,4,540000
69,3,3,4,825000
70,3,1,4,685000
71,3,1,4,805000
72,2,2,4,510000
73,3,1,4,612000
74,3,1,4,662000
75,4,1,4,978000
76,3,1,4,720000
77,4,1,4,765000
78,4,1,4,900000
79,2,1,2,1275000
80,2,1,2,1455000
81,3,1,2,2850000
82,3,1,2,1850000
83,2,1,2,1436000
84,2,1,2,1110000
85,2,1,2,1550000
86,4,1,2,2300000
87,3,3,2,1550000
88,3,1,2,1800000
89,2,1,2,2120000
90,3,1,2,1800000
91,3,1,2,1800000
92,2,1,2,1810000
93,3,1,2,2615000
94,5,1,2,2100000
95,3,1,2,1300000
96,3,1,2,1370000
97,2,1,2,1000000
98,3,1,2,2575000
99,2,1,2,1322500
100,2,1,2,1562500
101,3,1,2,2000000
102,3,1,2,1900000
103,3,1,2,3010000
104,4,1,2,2800000
105,2,2,2,647000
106,3,1,2,2100000
107,3,1,2,2000000
108,1,2,2,442500
109,4,1,2,4735000
110,2,1,2,1340000
111,3,1,2,1801000
112,3,1,2,1532000
113,3,1,2,3755000
114,4,1,2,2140000
115,2,1,2,1750000
116,2,1,2,980000
117,3,1,2,2030000
118,3,1,2,1740000
119,3,1,2,2800000
120,1,1,2,985000
121,4,1,1,2000000
122,3,1,1,1110000
123,3,1,1,1492000
124,4,1,1,1717500
125,5,1,1,2840000
126,2,2,1,525500
127,2,3,1,805000
128,2,2,1,465000
129,3,1,1,2000000
130,3,1,1,1540000
131,2,2,1,820000
132,4,1,1,1830000
133,4,1,1,2100000
134,3,1,1,865000
135,2,2,1,390000
136,2,3,1,650000
137,2,2,1,512000
138,3,1,1,1165000
139,4,1,1,1900000
140,3,1,1,1485000
141,4,1,1,1950000
142,3,1,4,520000
143,5,1,4,1525000
144,2,3,4,720000
145,3,1,4,1120000
146,4,1,4,780000
147,4,1,4,1780000
148,3,2,4,630000
149,2,2,4,406000
150,3,1,4,660000
151,3,1,4,683500
152,2,2,4,580000
153,3,1,4,1335000
154,3,3,4,800000
155,2,2,4,510000
156,4,1,4,1070000
157,2,2,4,425000
158,3,2,4,605000
159,3,3,4,705000
160,2,2,4,391000
161,2,2,4,440000
162,4,1,4,845000
163,3,3,4,743000
164,3,2,4,730000
165,3,1,4,635000
166,2,2,4,620000
167,2,2,4,447000
168,3,2,4,730000
169,3,1,4,678000
170,2,2,4,580000
171,3,1,4,712000
172,3,1,4,840000
173,3,1,4,980000
174,3,3,4,605100
175,3,1,4,880000
176,3,2,4,577000
177,4,1,4,1030000
178,3,2,4,605000
179,3,1,4,753000
180,2,1,4,857000
181,3,1,4,1500000
182,3,2,4,730000
183,3,1,4,900000
184,3,1,4,740000
185,4,1,4,931000
186,2,1,4,535600
187,5,1,4,1085000
188,3,1,4,781000
189,3,1,4,750000
190,2,3,4,421000
191,3,1,4,1405000
192,3,1,4,683000
193,3,1,4,623000
194,3,1,4,720000
195,3,1,4,588000
196,3,1,4,710000
197,4,1,4,875000
198,3,1,4,700000
199,2,3,4,640000
200,4,1,4,650000
201,3,1,4,675000
202,3,1,4,708000
203,4,1,4,965000
204,3,1,4,680000
205,3,1,4,770000
206,3,1,4,923000
207,4,1,4,693000
208,3,1,4,620000
209,3,1,4,728500
210,3,1,4,931000
211,3,1,4,988000
212,3,1,4,590000
213,2,1,4,610000
214,3,1,4,815000
215,4,1,4,970000
216,4,1,4,760000
217,4,3,4,847500
218,4,1,4,1200000
219,3,1,4,700000
220,3,1,4,625000
221,2,2,4,292000
222,2,2,2,599000
223,2,2,2,550000
224,3,2,2,995000
225,3,3,2,1205000
226,3,1,2,1939000
227,1,2,2,421500
228,3,1,2,1870000
229,2,2,2,678000
230,3,3,2,1918000
231,2,2,2,660000
232,3,1,2,2050000
233,2,2,2,700000
234,2,2,2,3625000
235,4,1,2,3000000
236,5,1,2,1525000
237,3,2,2,735000
238,2,2,2,825000
239,3,3,2,1586000
240,2,2,2,645000
241,1,1,2,1435000
242,1,2,2,280000
243,1,2,2,400000
244,2,1,2,1780000
245,2,2,2,592500
246,2,1,2,1210000
247,4,1,2,2801000
248,1,2,2,390000
249,3,1,2,1800000
250,4,1,2,2200000
251,1,2,2,324000
252,6,1,2,5525000
253,2,1,2,1125000
254,3,1,2,2250000
255,3,1,2,2360000
256,2,1,2,1900000
257,1,2,2,440000
258,2,2,2,490000
259,3,1,2,2365000
260,3,1,2,1300000
261,3,2,2,732000
262,2,2,2,704000
263,2,2,2,620000
264,3,1,2,1900000
265,1,2,2,315000
266,1,2,2,450000
267,2,2,2,710000
268,2,2,2,872000
269,2,2,2,598000
270,3,1,2,1285000
271,4,1,2,3660000
272,2,2,2,520000
273,4,1,2,3625000
274,4,1,2,4200000
275,3,3,2,1101000
276,3,1,2,3512500
277,4,1,2,2000000
278,3,2,2,869000
279,5,1,2,2810000
280,2,2,2,565000
281,1,2,2,567000
282,2,2,2,546000
283,2,2,2,471500
284,2,2,4,455000
285,3,1,4,940000
286,2,2,4,467000
287,3,1,4,1380000
288,2,2,4,490000
289,4,1,4,1850000
290,3,1,4,1284000
291,3,1,4,971000
292,2,1,4,710000
293,6,1,4,2425000
294,2,1,4,750000
295,2,1,4,1053000
296,3,1,4,1377000
297,3,1,4,970000
298,2,1,4,940000
